Keyword;Date time;Source;Event ID;Task Category
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:29;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 14:08;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 13:44;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:43;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 13:25;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 13:05;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 13:05;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:46;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 12:04;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/5/2017 11:20;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/5/2017 11:18;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/5/2017 11:18;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 18:04;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 18:04;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:51;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 17:31;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 16:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:16;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:15;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:15;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:15;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:15;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:15;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 16:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:11;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:10;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:10;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:08;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:08;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 16:00;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 15:00;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 14:46;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 14:46;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:52;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:18;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:17;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 13:14;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 13:02;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 13:02;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:58;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:53;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:51;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:51;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:51;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:51;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:51;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:44;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:40;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:21;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 12:06;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 12:01;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:32;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:32;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:31;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:30;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/4/2017 11:29;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 11:55;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:12;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:11;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 10:10;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4648;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4634;Logoff
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4624;Logon
Audit Success;10/3/2017 10:07;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 18:32;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:28;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:28;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:22;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:12;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:11;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:11;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:10;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:07;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:01;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:01;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:01;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 18:01;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 18:01;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 16:56;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 16:35;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 16:35;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 14:50;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 14:36;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 14:36;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 13:49;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:53;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 12:53;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 12:13;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 11:34;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 11:33;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 11:33;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 11:33;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 11:26;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 11:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/29/2017 10:57;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 20:41;Microsoft Windows security auditing.;4647;Logoff
Audit Success;9/28/2017 20:16;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 20:16;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 19:28;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 18:34;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 18:27;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 18:27;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 18:06;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 16:32;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 16:32;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 15:00;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 15:00;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 14:58;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4624;Logon
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4648;Logon
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4634;Logoff
Audit Success;9/28/2017 13:24;Microsoft Windows security auditing.;4624;Logon
